name	url
Все здорово	http://www.spr.ru/forum_vyvod.php?id_tema=2903771
Спасибо врачам	http://www.spr.ru/forum_vyvod.php?id_tema=387156
Спасибо Александру Николаевичу	http://www.spr.ru/forum_vyvod.php?id_tema=387149
Справки о побоях	http://www.spr.ru/forum_vyvod.php?id_tema=3458197
Не круглосуточно	http://www.spr.ru/forum_vyvod.php?id_tema=3363143
Ужасный травмпункт	http://www.spr.ru/forum_vyvod.php?id_tema=3274288
Травма голеностопного сустава	http://www.spr.ru/forum_vyvod.php?id_tema=2329327
Непрофессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=568904
Диагноз один на всех	http://www.spr.ru/forum_vyvod.php?id_tema=462167
Плохая техника, плохое отношение к посетителям	http://www.spr.ru/forum_vyvod.php?id_tema=361002
Неправильный диагноз	http://www.spr.ru/forum_vyvod.php?id_tema=335327
Сотрудники просто выполняют свою работу	http://www.spr.ru/forum_vyvod.php?id_tema=3149725
Благодарю сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2357392
Хочу поблагодарить медиков	http://www.spr.ru/forum_vyvod.php?id_tema=354498
Неоказание помощи	http://www.spr.ru/forum_vyvod.php?id_tema=3460255
Бездарности	http://www.spr.ru/forum_vyvod.php?id_tema=3130972
Не понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=3065744
Плохое отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2564142
Без бахил не пустили	http://www.spr.ru/forum_vyvod.php?id_tema=2562576
Наше здравоохранение	http://www.spr.ru/forum_vyvod.php?id_tema=2412290
Упущение местных чиновников	http://www.spr.ru/forum_vyvod.php?id_tema=496382
Демоны или врачи	http://www.spr.ru/forum_vyvod.php?id_tema=296524
Нормальное обслуживание	http://www.spr.ru/forum_vyvod.php?id_tema=2107032
Говорят мне повезло	http://www.spr.ru/forum_vyvod.php?id_tema=454154
Очень довольна работой врача и остального персонала	http://www.spr.ru/forum_vyvod.php?id_tema=299191
Ничего плохого сказать не могу	http://www.spr.ru/forum_vyvod.php?id_tema=286535
Хамят по телефону	http://www.spr.ru/forum_vyvod.php?id_tema=2174195
Неквалифицированные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=320639
Неприятность	http://www.spr.ru/forum_vyvod.php?id_tema=184290
Отсутствие средств диагностики	http://www.spr.ru/forum_vyvod.php?id_tema=111024
Два раза оперативно помогали	http://www.spr.ru/forum_vyvod.php?id_tema=3235313
Быстро определили	http://www.spr.ru/forum_vyvod.php?id_tema=2865077
Отвратительное санитарное состояние	http://www.spr.ru/forum_vyvod.php?id_tema=2160728
Безмозглое руководство	http://www.spr.ru/forum_vyvod.php?id_tema=225594
Спасибо врачам травматологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3167110
С благодарностью	http://www.spr.ru/forum_vyvod.php?id_tema=2660622
Персонал работает разный	http://www.spr.ru/forum_vyvod.php?id_tema=2515830
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=360125
Очень быстро помогли	http://www.spr.ru/forum_vyvod.php?id_tema=259096
Равнодушное отношение к пациенту доктора Гаджиева	http://www.spr.ru/forum_vyvod.php?id_tema=3471490
Безразличное отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3171788
Отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=3127020
Халатность	http://www.spr.ru/forum_vyvod.php?id_tema=3050316
Некомпетентный врач	http://www.spr.ru/forum_vyvod.php?id_tema=3015821
Врач не осмотрел	http://www.spr.ru/forum_vyvod.php?id_tema=2898411
Закройте и не позорьтесь	http://www.spr.ru/forum_vyvod.php?id_tema=2865220
Пламенный привет травматологии	http://www.spr.ru/forum_vyvod.php?id_tema=2826027
У врачей травмпункта нет сострадания	http://www.spr.ru/forum_vyvod.php?id_tema=2602809
Закрыть травмункт	http://www.spr.ru/forum_vyvod.php?id_tema=2406969
Неправильно поставили диагноз	http://www.spr.ru/forum_vyvod.php?id_tema=2138766
Было много упреков и наставлений	http://www.spr.ru/forum_vyvod.php?id_tema=667508
Не могут поставить диагноз	http://www.spr.ru/forum_vyvod.php?id_tema=604334
Отправляют домой умирать	http://www.spr.ru/forum_vyvod.php?id_tema=363106
Травмпункт 1	http://www.spr.ru/forum_vyvod.php?id_tema=158599
Травматолог	http://www.spr.ru/forum_vyvod.php?id_tema=142918
Травматология: профнепригодность	http://www.spr.ru/forum_vyvod.php?id_tema=121872
Отношение к людям	http://www.spr.ru/forum_vyvod.php?id_tema=3372092
Плохое общение	http://www.spr.ru/forum_vyvod.php?id_tema=3187400
Нет помощи и плохое отношение	http://www.spr.ru/forum_vyvod.php?id_tema=2862010
Мнение пациента	http://www.spr.ru/forum_vyvod.php?id_tema=2548559
Ужасный травмпункт	http://www.spr.ru/forum_vyvod.php?id_tema=710959
Благодарность бригаде	http://www.spr.ru/forum_vyvod.php?id_tema=2884842
Положительные слова	http://www.spr.ru/forum_vyvod.php?id_tema=2339238
Спасибо за помощь	http://www.spr.ru/forum_vyvod.php?id_tema=543528
Благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2954414
Давали ли эти врачи клятву Гиппократа	http://www.spr.ru/forum_vyvod.php?id_tema=3376691
Наплевательское отношение к людям, которые обращаются за первой помощь	http://www.spr.ru/forum_vyvod.php?id_tema=3365981
Просто ужас	http://www.spr.ru/forum_vyvod.php?id_tema=3310040
Не москвич, значит не человек	http://www.spr.ru/forum_vyvod.php?id_tema=3211315
Возможность дозвониться	http://www.spr.ru/forum_vyvod.php?id_tema=3164161
Бег по кругу	http://www.spr.ru/forum_vyvod.php?id_tema=3051147
Справка у нарколога	http://www.spr.ru/forum_vyvod.php?id_tema=2944642
Не могут оказать помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2675756
Благодарность Никитину	http://www.spr.ru/forum_vyvod.php?id_tema=684864
Нет слов	http://www.spr.ru/forum_vyvod.php?id_tema=660655
Благодарность сотрудникам за работу	http://www.spr.ru/forum_vyvod.php?id_tema=2630544
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2620732
О работнике травмпункта	http://www.spr.ru/forum_vyvod.php?id_tema=518442
Вопрос морали	http://www.spr.ru/forum_vyvod.php?id_tema=517471
Травм врач неадекватный	http://www.spr.ru/forum_vyvod.php?id_tema=517468
О неудовлетворительном обслуживании травмобольных	http://www.spr.ru/forum_vyvod.php?id_tema=3292358
Звоню им на все телефоны	http://www.spr.ru/forum_vyvod.php?id_tema=3146924
Помогли ребенку	http://www.spr.ru/forum_vyvod.php?id_tema=3343343
Профессионалы	http://www.spr.ru/forum_vyvod.php?id_tema=3066028
Никого нет	http://www.spr.ru/forum_vyvod.php?id_tema=3342263
Непрофессиональное отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2462865
Такие врачи должны быть все	http://www.spr.ru/forum_vyvod.php?id_tema=3249315
Посещение травмпункта	http://www.spr.ru/forum_vyvod.php?id_tema=2583362
Хорошая работа	http://www.spr.ru/forum_vyvod.php?id_tema=2150573
Спасибо за лечение	http://www.spr.ru/forum_vyvod.php?id_tema=511860
Отличный травмпункт	http://www.spr.ru/forum_vyvod.php?id_tema=84311
Посетили травмпункт	http://www.spr.ru/forum_vyvod.php?id_tema=61963
Хорошо лечат	http://www.spr.ru/forum_vyvod.php?id_tema=49757
С праздником	http://www.spr.ru/forum_vyvod.php?id_tema=44194
Подготовились	http://www.spr.ru/forum_vyvod.php?id_tema=42074
