name	url
Травмпункт, ГОРОДСКАЯ ПОЛИКЛИНИКА № 134	http://www.spr.ru/yasenevo/travmpunkt-247388.html
ХИМКИНСКАЯ ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА, поликлиника, травматолого-ортопедическое отделение	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/himkinskaya-tsentralnaya-klinicheskaya-bolnitsa.html
Травмпункт, ГОРОДСКАЯ ПОЛИКЛИНИКА № 66	http://www.spr.ru/novokosino/travmpunkt-27362.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 86, травмпункт	http://www.spr.ru/dmitrovskiy/detskaya-gorodskaya-poliklinika-86-14091.html
Травмпункт, ГОРОДСКАЯ ПОЛИКЛИНИКА № 129	http://www.spr.ru/basmanniy/travmpunkt.html
Травматологическое отделение, КОРОЛЁВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/korolev-i-gorodskoy-okrug-korolev/travmatologicheskoe-otdelenie-76604.html
Травмпункт, КРАСНОГОРСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 1	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/travmpunkt-43493.html
Травматологический пункт, ОДИНЦОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/travmatologicheskiy-punkt-6125009.html
Травмпункт, ЛЮБЕРЕЦКАЯ РАЙОННАЯ БОЛЬНИЦА № 2	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/travmpunkt-202104.html
Травматологическое поликлиническое отделение, БАЛАШИХИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/travmatologicheskoe-poliklinicheskoe-otdelenie.html
Травмпункт, ДЕТСКАЯ БОЛЬНИЦА	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/travmpunkt-449975.html
КОНСУЛЬТАТИВНО-ДИАГНОСТИЧЕСКАЯ ПОЛИКЛИНИКА № 121, филиал № 6, травмпункт	http://www.spr.ru/yuzhnoe-butovo/konsultativno-diagnosticheskaya-poliklinika-121-7318.html
Травматологическое отделение, ЧЕХОВСКАЯ РАЙОННАЯ БОЛЬНИЦА № 1	http://www.spr.ru/chehov-i-chehovskiy-rayon/travmatologicheskoe-otdelenie-228379.html
Травмпункт, ГОРОДСКАЯ ПОЛИКЛИНИКА № 23	http://www.spr.ru/vihino-zhulebino/travmpunkt-8944.html
Травмпункт, КОЛОМЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/kolomna-i-kolomenskiy-rayon/travmpunkt-79391.html
Травмпункт, ТРОИЦКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/troitsk/travmpunkt-195082.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 130, филиал № 1, травмпункт	http://www.spr.ru/krilatskoe/detskaya-gorodskaya-poliklinika-130-19575.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 118, филиал № 1, травмпункт	http://www.spr.ru/yuzhnoe-butovo/detskaya-gorodskaya-poliklinika-118-7319.html
Травмпункт, МЫТИЩИНСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/travmpunkt-215035.html
Травмпункт, ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 132	http://www.spr.ru/novo-peredelkino/travmpunkt-27855.html
