name	url
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3468715
Спасибо за понимание	http://www.spr.ru/forum_vyvod.php?id_tema=3462740
Отличный сервис	http://www.spr.ru/forum_vyvod.php?id_tema=3461254
Рекомендую этот центр	http://www.spr.ru/forum_vyvod.php?id_tema=3461012
Благодарность Всем Сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3459023
Большое спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3456483
Ультразвуковая диагностика	http://www.spr.ru/forum_vyvod.php?id_tema=475258
Неквалифицированная помощь, которая привела к плачевным последствиям	http://www.spr.ru/forum_vyvod.php?id_tema=3365382
Неплохой центр	http://www.spr.ru/forum_vyvod.php?id_tema=2541530
Все очень понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=3411337
Не понравилось лежать без движения	http://www.spr.ru/forum_vyvod.php?id_tema=3398262
Спасибо, что развеяли сомнения	http://www.spr.ru/forum_vyvod.php?id_tema=3396274
Качественные снимки вышли, спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3392481
Ставлю четверку за ожидание	http://www.spr.ru/forum_vyvod.php?id_tema=3378081
Проходила томографию в этом медцентре	http://www.spr.ru/forum_vyvod.php?id_tema=3372999
Была на томографии на позапрошлой неделе	http://www.spr.ru/forum_vyvod.php?id_tema=3371274
Пишу мои впечатления	http://www.spr.ru/forum_vyvod.php?id_tema=3370616
Не по себе в процессе обследования, но зато не больно	http://www.spr.ru/forum_vyvod.php?id_tema=3359904
Самое тяжелое в процедуре для меня было ожидание	http://www.spr.ru/forum_vyvod.php?id_tema=3358935
Проходила обследование здесь	http://www.spr.ru/forum_vyvod.php?id_tema=3357900
Хороший МРТ центр	http://www.spr.ru/forum_vyvod.php?id_tema=3260750
Отличный центр, замечательный персонал	http://www.spr.ru/forum_vyvod.php?id_tema=3246399
Сам центр средний	http://www.spr.ru/forum_vyvod.php?id_tema=3256780
Контора ужасная	http://www.spr.ru/forum_vyvod.php?id_tema=3251473
Приятная скидка	http://www.spr.ru/forum_vyvod.php?id_tema=2820835
Обычный центр	http://www.spr.ru/forum_vyvod.php?id_tema=2817422
Довольна качеством	http://www.spr.ru/forum_vyvod.php?id_tema=2810965
Доволен услугой	http://www.spr.ru/forum_vyvod.php?id_tema=2779340
Отзыв	http://www.spr.ru/forum_vyvod.php?id_tema=2774263
Одобряю	http://www.spr.ru/forum_vyvod.php?id_tema=2682998
Спасибо огромное	http://www.spr.ru/forum_vyvod.php?id_tema=2676609
Спасибо специалистам клиники	http://www.spr.ru/forum_vyvod.php?id_tema=2665507
Качественно оказываемых услуг	http://www.spr.ru/forum_vyvod.php?id_tema=2657106
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2604957
Отличный центр	http://www.spr.ru/forum_vyvod.php?id_tema=2602705
Восхищение	http://www.spr.ru/forum_vyvod.php?id_tema=2602494
Трудоустройство	http://www.spr.ru/forum_vyvod.php?id_tema=3436376
В целом неплохо, если бы не хамство секретаря	http://www.spr.ru/forum_vyvod.php?id_tema=3237563
Не умееют делать холангиографию	http://www.spr.ru/forum_vyvod.php?id_tema=2943734
Трудоустройство	http://www.spr.ru/forum_vyvod.php?id_tema=2921606
Не рекомендую	http://www.spr.ru/forum_vyvod.php?id_tema=2848457
Не рекомендую	http://www.spr.ru/forum_vyvod.php?id_tema=2843058
Ночная скидка	http://www.spr.ru/forum_vyvod.php?id_tema=3323934
Осталась всем довольна	http://www.spr.ru/forum_vyvod.php?id_tema=2832806
Сомнительный диагноз	http://www.spr.ru/forum_vyvod.php?id_tema=3277636
Благодарю сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=3253252
Отличный сервис и вежливый персонал	http://www.spr.ru/forum_vyvod.php?id_tema=3130674
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3102326
Неплохой медицинский центр	http://www.spr.ru/forum_vyvod.php?id_tema=3408087
Аппарат очень шумный	http://www.spr.ru/forum_vyvod.php?id_tema=3403317
Долгое время ожидания	http://www.spr.ru/forum_vyvod.php?id_tema=3239704
Можно еще взять электронный носитель с записью	http://www.spr.ru/forum_vyvod.php?id_tema=3411399
У меня в голове нет опухоли	http://www.spr.ru/forum_vyvod.php?id_tema=3411194
Побывала в этой клинике на обследовании	http://www.spr.ru/forum_vyvod.php?id_tema=3403311
Все слаженно и быстро, время ожидания минимальное	http://www.spr.ru/forum_vyvod.php?id_tema=3411409
Через 20 минут на руки выдают полные результаты обследования	http://www.spr.ru/forum_vyvod.php?id_tema=3411196
Отличная клиника, результат точный	http://www.spr.ru/forum_vyvod.php?id_tema=3403313
Господам пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3324475
Слаженная работа персонала	http://www.spr.ru/forum_vyvod.php?id_tema=2803232
Огромное спасибо всем сотрудникам центра	http://www.spr.ru/forum_vyvod.php?id_tema=2210944
Разочарован этим центром	http://www.spr.ru/forum_vyvod.php?id_tema=3475045
Хамство	http://www.spr.ru/forum_vyvod.php?id_tema=3335157
Наглость и ложь	http://www.spr.ru/forum_vyvod.php?id_tema=3322892
Хамское отношение персонала к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=3295360
Ужасный персонал	http://www.spr.ru/forum_vyvod.php?id_tema=3268630
Хамство	http://www.spr.ru/forum_vyvod.php?id_tema=3191027
Три золотых проводка по цене панацеи	http://www.spr.ru/forum_vyvod.php?id_tema=2821996
Отличный центр и персонал Все на высшем уровне	http://www.spr.ru/forum_vyvod.php?id_tema=2805653
Отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=2795529
Деревенские хамки	http://www.spr.ru/forum_vyvod.php?id_tema=2785994
Отношение к больным	http://www.spr.ru/forum_vyvod.php?id_tema=2741336
Гнать в шею	http://www.spr.ru/forum_vyvod.php?id_tema=692101
Все хорошо	http://www.spr.ru/forum_vyvod.php?id_tema=3410734
Остался доволен	http://www.spr.ru/forum_vyvod.php?id_tema=3390029
Спасибо огромное	http://www.spr.ru/forum_vyvod.php?id_tema=3365872
Обратилась и не ошиблась	http://www.spr.ru/forum_vyvod.php?id_tema=3361659
Выбираю центр	http://www.spr.ru/forum_vyvod.php?id_tema=3203854
Советую всем	http://www.spr.ru/forum_vyvod.php?id_tema=3203838
Не хуже, чем в Москве	http://www.spr.ru/forum_vyvod.php?id_tema=3160989
Они лучшие	http://www.spr.ru/forum_vyvod.php?id_tema=3160977
В полном восторге	http://www.spr.ru/forum_vyvod.php?id_tema=3137771
Так было бы удобнее	http://www.spr.ru/forum_vyvod.php?id_tema=2809867
Не советую	http://www.spr.ru/forum_vyvod.php?id_tema=3114726
Заключение врача	http://www.spr.ru/forum_vyvod.php?id_tema=3020448
Немного опоздала	http://www.spr.ru/forum_vyvod.php?id_tema=2962298
Неправильные заключения	http://www.spr.ru/forum_vyvod.php?id_tema=2901896
Моя благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3110414
Непрофессиональная работа	http://www.spr.ru/forum_vyvod.php?id_tema=3103308
Комментарии правдивые, это не бот	http://www.spr.ru/forum_vyvod.php?id_tema=3475114
Современный центр	http://www.spr.ru/forum_vyvod.php?id_tema=3459196
Квалифицированная помощь в диагностике заболевания	http://www.spr.ru/forum_vyvod.php?id_tema=3441948
Настоящие профессионалы	http://www.spr.ru/forum_vyvod.php?id_tema=3422423
Я полностью довольна	http://www.spr.ru/forum_vyvod.php?id_tema=3397871
Хороший центр с хорошими специалистами	http://www.spr.ru/forum_vyvod.php?id_tema=3381693
Отличный диагностический центр	http://www.spr.ru/forum_vyvod.php?id_tema=3356502
Всем рекомендую обращаться в этот центр	http://www.spr.ru/forum_vyvod.php?id_tema=3339292
Благодарность за правильный диагноз	http://www.spr.ru/forum_vyvod.php?id_tema=3327925
Благодарю за качество работы	http://www.spr.ru/forum_vyvod.php?id_tema=3322528
Отличное качество услуг и приятный сервис	http://www.spr.ru/forum_vyvod.php?id_tema=3302812
Самые лучшие впечатления	http://www.spr.ru/forum_vyvod.php?id_tema=3452931
Лучший диагностический центр	http://www.spr.ru/forum_vyvod.php?id_tema=3446990
Хорошее оборудование и квалифицированные доктора	http://www.spr.ru/forum_vyvod.php?id_tema=3422419
Посещением осталась довольна	http://www.spr.ru/forum_vyvod.php?id_tema=3419315
Персонал - отзывчивые и приятные люди	http://www.spr.ru/forum_vyvod.php?id_tema=3388977
Рентгенолог хорошо смотрит и описывает	http://www.spr.ru/forum_vyvod.php?id_tema=3386969
Большое спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3367958
Очень хороший аппарат	http://www.spr.ru/forum_vyvod.php?id_tema=3365473
Томограф хороший	http://www.spr.ru/forum_vyvod.php?id_tema=3344689
Делала томографию шейного позвоночника	http://www.spr.ru/forum_vyvod.php?id_tema=3331541
Понравилось качество обследования	http://www.spr.ru/forum_vyvod.php?id_tema=3312543
Спасибо за хорошее обслуживание	http://www.spr.ru/forum_vyvod.php?id_tema=3283847
Очень довольна	http://www.spr.ru/forum_vyvod.php?id_tema=3245912
Грамотные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=3241374
Непрофессионализм персонала	http://www.spr.ru/forum_vyvod.php?id_tema=3174261
Такие правила	http://www.spr.ru/forum_vyvod.php?id_tema=2996187
Центр понравился	http://www.spr.ru/forum_vyvod.php?id_tema=3454360
Хорошая клиника и специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=3448923
Процедура МРТ быстро и качественно	http://www.spr.ru/forum_vyvod.php?id_tema=3424240
Не пожалела, что обратилась именно в этот центр	http://www.spr.ru/forum_vyvod.php?id_tema=3420289
Сделали быстро и качественно	http://www.spr.ru/forum_vyvod.php?id_tema=3388993
УЗИ	http://www.spr.ru/forum_vyvod.php?id_tema=3371640
Про томографию	http://www.spr.ru/forum_vyvod.php?id_tema=3368218
Рекомендую	http://www.spr.ru/forum_vyvod.php?id_tema=3332493
Диагноз был поставлен верно	http://www.spr.ru/forum_vyvod.php?id_tema=3313833
Диагноз был поставлен с абсолютной точностью	http://www.spr.ru/forum_vyvod.php?id_tema=3313807
Нравится	http://www.spr.ru/forum_vyvod.php?id_tema=3312602
Рекомендуем всем	http://www.spr.ru/forum_vyvod.php?id_tema=3312568
Безответственные люди	http://www.spr.ru/forum_vyvod.php?id_tema=3271557
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3098068
Спасибо неврологу Шуляковскому	http://www.spr.ru/forum_vyvod.php?id_tema=3034795
Благодарность клинике	http://www.spr.ru/forum_vyvod.php?id_tema=2997972
Хорошая клиника	http://www.spr.ru/forum_vyvod.php?id_tema=2933207
Берегись, пациент	http://www.spr.ru/forum_vyvod.php?id_tema=3362414
Хочу поблагодарить Лаурсон	http://www.spr.ru/forum_vyvod.php?id_tema=3417302
Приятный опыт прохождения обследования	http://www.spr.ru/forum_vyvod.php?id_tema=3402560
Процветания Вашему Центру!	http://www.spr.ru/forum_vyvod.php?id_tema=3337751
Благодарна Мрт-Авицене	http://www.spr.ru/forum_vyvod.php?id_tema=3419593
Мне понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=3353092
Плохое качество	http://www.spr.ru/forum_vyvod.php?id_tema=3403511
Введение в заблуждение по оплате услуг	http://www.spr.ru/forum_vyvod.php?id_tema=2519854
Хороший сервис, доступные цены	http://www.spr.ru/forum_vyvod.php?id_tema=3419559
Хорошие цены по акции	http://www.spr.ru/forum_vyvod.php?id_tema=3403304
Первый раз была в МРТ-центре	http://www.spr.ru/forum_vyvod.php?id_tema=3362543
В общем осталась довольна	http://www.spr.ru/forum_vyvod.php?id_tema=3411098
Для пациентов замечательные условия созданы	http://www.spr.ru/forum_vyvod.php?id_tema=3409827
Качественно провели исследование позвоночника	http://www.spr.ru/forum_vyvod.php?id_tema=3403199
Вполне	http://www.spr.ru/forum_vyvod.php?id_tema=3402807
Самая большая ценность жизни человека - это сама жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=3400350
Очень профессиональный и приветливый персонал	http://www.spr.ru/forum_vyvod.php?id_tema=3351783
Все сделали быстро	http://www.spr.ru/forum_vyvod.php?id_tema=3411996
Все прошло отлично, очередей нет, результаты выдают быстро	http://www.spr.ru/forum_vyvod.php?id_tema=3409172
Низкие цены, отличный результат	http://www.spr.ru/forum_vyvod.php?id_tema=3403152
Низкая цена и отзывчивый персонал	http://www.spr.ru/forum_vyvod.php?id_tema=3411393
Врачи очень внимательные	http://www.spr.ru/forum_vyvod.php?id_tema=3411188
Профессионализм высокий, оборудование нормальное	http://www.spr.ru/forum_vyvod.php?id_tema=3403307
Спасибо большое персоналу центра	http://www.spr.ru/forum_vyvod.php?id_tema=3410990
Качественные услуги по достаточно низкой цене	http://www.spr.ru/forum_vyvod.php?id_tema=3409810
Персонал очень корректный и вежливый	http://www.spr.ru/forum_vyvod.php?id_tema=3403171
Мой лечащий высоко ценит их качество заключений	http://www.spr.ru/forum_vyvod.php?id_tema=3409772
Спасибо огромное, что есть такой замечательный центр	http://www.spr.ru/forum_vyvod.php?id_tema=3403097
Благодарность центру	http://www.spr.ru/forum_vyvod.php?id_tema=3003791
Распечатал шаблон заключения с обыденными фразами	http://www.spr.ru/forum_vyvod.php?id_tema=3410249
Спасибо персоналу клинки!	http://www.spr.ru/forum_vyvod.php?id_tema=3405293
Я просто в восторге от этого места	http://www.spr.ru/forum_vyvod.php?id_tema=3402768
Благодарность Тараканову	http://www.spr.ru/forum_vyvod.php?id_tema=3368703
Отзыв о посещении	http://www.spr.ru/forum_vyvod.php?id_tema=3244777
Всем советую данный Медико-Диагностический Центр	http://www.spr.ru/forum_vyvod.php?id_tema=3392125
На троечку	http://www.spr.ru/forum_vyvod.php?id_tema=3419236
Была в шоке	http://www.spr.ru/forum_vyvod.php?id_tema=3075870
