name	url
ЮНИТ-МЕД, центр МРТ-диагностики	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/yunit-med.html
ТОМОГРАД, центр диагностики	http://www.spr.ru/schelkovo-i-schelkovskiy-rayon/tomograd-981267.html
МРТ В ДОЛГОПРУДНОМ	http://www.spr.ru/dolgoprudniy-i-gorodskoy-okrug-dolgoprudniy/mrt-v-dolgoprudnom.html
МИРАМЕДИК ПЛЮС, магнитно-резонансная томография	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/miramedik-plyus-4713331.html
МАГНИТНО-РЕЗОНАНСНАЯ ТОМОГРАФИЯ	http://www.spr.ru/litkarino-i-gorodskoy-okrug-litkarino/magnitno-rezonansnaya-tomografiya-4254047.html
ДИОМАГ-Р, центр МРТ	http://www.spr.ru/reutov-i-gorodskoy-okrug-reutov/diomag-r.html
РАМЕНСКИЙ ЦЕНТР ТОМОГРАФИИ	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/ramenskiy-tsentr-tomografii.html
МРТ-ЭКСПЕРТ, лечебно-диагностический центр	http://www.spr.ru/pokrovskoe-streshnevo/mrt-ekspert-4221704.html
МЕДЭКСПЕРТ, магнитно-резонансная томография	http://www.spr.ru/zamoskvoreche/medekspert-4126771.html
МЕДСЕВЕН, магнитно-резонансная томография	http://www.spr.ru/presnenskiy/medseven.html
МРТ ЦЕНТР, диагностический центр	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/mrt-tsentr-4589155.html
ТОМОГРАД, центр томографии	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/tomograd-4427625.html
МРТРУ, магнитно-резонансная томография	http://www.spr.ru/danilovskiy/mrtru.html
ТОМОГРАД, центр томографии	http://www.spr.ru/zhukovskiy-i-gorodskoy-okrug-zhukovskiy/tomograd-1013116.html
МРТ ЭКСПЕРТ, медицинский центр	http://www.spr.ru/staroe-kryukovo/mrt-ekspert-4674894.html
МРТ ЭКСПЕРТ, медицинский центр	http://www.spr.ru/dorogomilovo/mrt-ekspert-4674896.html
МРТ ЭКСПЕРТ, медицинский центр	http://www.spr.ru/cheremushki/mrt-ekspert-4674895.html
МРТРУ, магнитно-резонансная томография	http://www.spr.ru/marina-roscha/mrtru-4698850.html
СФЕРА-СМ, МРТ-диагностика	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/sfera-sm-4814765.html
ДИАМАГ, центр МРТ-диагностики	http://www.spr.ru/voskresensk-i-voskresenskiy-rayon/diamag.html
МРТ-КОЛОМНА, магнитно-резонансная томография	http://www.spr.ru/kolomna-i-kolomenskiy-rayon/mrt-kolomna.html
МРТ-ЦЕНТР, центр магнитно-резонансной томографии	http://www.spr.ru/chehov-i-chehovskiy-rayon/mrt-tsentr.html
ЕВРОПЕЙСКИЙ ДИАГНОСТИЧЕСКИЙ ЦЕНТР, магнитно-резонансная томография	http://www.spr.ru/nagatino-sadovniki/evropeyskiy-diagnosticheskiy-tsentr.html
СФЕРА-СМ, МРТ-диагностика	http://www.spr.ru/korolev-i-gorodskoy-okrug-korolev/sfera-sm-4526389.html
СФЕРА-СМ, МРТ-диагностика	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/sfera-sm.html
ДИАГНОСТИКА МРТ	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/diagnostika-mrt.html
КЛИНИКА СОВРЕМЕННОЙ ДИАГНОСТИКИ, магнитно-резонансная томография	http://www.spr.ru/vihino-zhulebino/klinika-sovremennoy-diagnostiki.html
ЛДЦ МИБС, магнитно-резонансная томография	http://www.spr.ru/metrogorodok/ldts-mibs.html
МРТ-АВИЦЕНА	http://www.spr.ru/istra-i-istrinskiy-rayon/mrt-avitsena.html
МРТ-ЦЕНТР	http://www.spr.ru/zyablikovo/mrt-tsentr-4681613.html
СИТИСКАН, МРТ-диагностика	http://www.spr.ru/severnoe-butovo/sitiskan.html
ЛДЦ МИБС, магнитно-резонансная томография	http://www.spr.ru/danilovskiy/ldts-mibs-4220967.html
МАГНЕТОМ-ДИАГНОСТИКА, центр магнитно-резонансной томографии	http://www.spr.ru/nagorniy/magnetom-diagnostika.html
МАГНИТНО-РЕЗОНАНСНАЯ ТОМОГРАФИЯ	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/magnitno-rezonansnaya-tomografiya.html
МРТ В ПЕРОВО, центр томографии	http://www.spr.ru/perovo/mrt-v-perovo.html
МРТ ДИАГНОСТИКА В ТУШИНО	http://www.spr.ru/pokrovskoe-streshnevo/mrt-diagnostika-v-tushino.html
МРТ ЭКСПЕРТ, диагностический центр МРТ	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/mrt-ekspert-4701061.html
